id,loan_amnt,term,int_rate,grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,loan_status,purpose,zip_code,addr_state,dti,delinq_2yrs,inq_last_6mths,pub_rec,acc_now_delinq,avg_cur_bal,chargeoff_within_12_mths,delinq_amnt,num_accts_ever_120_pd,num_actv_bc_tl,num_bc_sats,pub_rec_bankruptcies
20001,7000, 36 months,10.99%,B,BRANCH MANAGER,7 years,MORTGAGE,57000,Not Verified,Fully Paid,debt_consolidation,441xx,OH,12.95,0,1,0,0,8321,0,0,0,4,7,0
20002,13925, 36 months,14.30%,C,Medical biller,< 1 year,RENT,43000,Source Verified,Fully Paid,credit_card,117xx,NY,31.29,0,3,0,0,641,0,0,0,5,6,0
20003,7000, 36 months,10.99%,B,Medical Clerk,7 years,OWN,30000,Not Verified,Charged Off,credit_card,117xx,NY,16.28,3,0,0,0,837,0,0,0,5,6,0
20004,9600, 36 months,7.90%,A,Bookkeeper,10+ years,MORTGAGE,46000,Not Verified,Fully Paid,credit_card,976xx,OR,21.89,0,0,0,0,14140,0,0,0,3,4,0
20005,10775, 36 months,17.10%,C,Manufacturing Lead,7 years,OWN,75000,Source Verified,Fully Paid,debt_consolidation,931xx,CA,4.27,0,1,0,0,1171,0,0,0,1,1,0
20006,19200, 36 months,12.99%,B,Air Traffic Control Specialist,10+ years,MORTGAGE,110000,Not Verified,Fully Paid,debt_consolidation,990xx,WA,14.72,0,0,0,0,22121,0,0,0,7,10,0
20007,10000, 36 months,8.90%,A,Customer Service,6 years,OWN,55000,Source Verified,Charged Off,home_improvement,601xx,IL,12.57,0,1,0,0,9309,0,0,0,2,5,0
20008,28000, 36 months,16.20%,C,flight attendant,10+ years,OWN,85000,Verified,Fully Paid,debt_consolidation,070xx,NJ,12.57,1,0,0,0,10159,0,0,4,3,3,0
20009,2800, 36 months,12.99%,B,Coder,10+ years,RENT,50024,Source Verified,Fully Paid,debt_consolidation,891xx,NV,30.04,0,0,0,0,4722,0,0,0,1,1,0
20010,28000, 36 months,15.10%,C,Principal,6 years,MORTGAGE,85000,Verified,Charged Off,debt_consolidation,789xx,TX,26.05,0,0,0,0,18171,0,0,0,3,3,0
20011,8000, 36 months,17.76%,D,Senior Accountant,10+ years,MORTGAGE,75420,Verified,Fully Paid,debt_consolidation,553xx,MN,15.07,2,1,0,0,25912,0,0,1,3,3,0
20012,7000, 36 months,7.90%,A,Branch Service Leader,8 years,MORTGAGE,66428,Not Verified,Fully Paid,debt_consolidation,370xx,TN,20.61,0,3,0,0,10732,0,0,0,2,2,0
20013,10000, 36 months,15.10%,C,Billing,< 1 year,RENT,41600,Verified,Fully Paid,debt_consolidation,551xx,MN,8.11,0,3,1,0,5729,0,0,0,5,5,1
20014,21000, 36 months,6.03%,A,Web Developer,10+ years,MORTGAGE,75000,Source Verified,Fully Paid,credit_card,895xx,NV,24.13,0,1,0,0,18777,0,0,0,3,6,0
